Player Name,Team Initials,Appearances,Goals,Cards,Tournaments,Attack_Contribution,Goals_Score,Appearances_Score,Attack_Score,Experience_Score,Discipline_Score,Cluster
AIMAR,ARG,8,0,0,2,0.0,0.0,25.925925925925924,0.0,25.0,100.0,1.0
AIROSA,ANG,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
AIYENUGBA,NGA,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
AKALE,CIV,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
AKINFEEV,RUS,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
AKITA,JPN,4,0,0,1,0.0,0.0,11.11111111111111,0.0,0.0,100.0,0.0
AKOTO,TOG,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
AKPA JD,CIV,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
AKW,ANG,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
AKWUEGBU,NGA,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
AL HASAN A.H.,KSA,3,0,1,1,0.0,0.0,7.4074074074074066,0.0,0.0,87.5,2.0
AL ROUBAI GHANIM,IRQ,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
AL-ANTAIF,KSA,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
AL-DAYEA,KSA,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
AL-DEAYEA,KSA,4,0,1,1,0.0,0.0,11.11111111111111,0.0,0.0,87.5,2.0
AL-SADIG,KSA,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ALBAHRI,KSA,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ALBELDA,ESP,9,0,1,2,0.0,0.0,29.629629629629623,0.0,25.0,87.5,1.0
ALBERTINI,ITA,7,0,3,1,0.0,0.0,22.22222222222222,0.0,0.0,62.5,2.0
ALBISHI,KSA,2,0,0,1,0.0,0.0,3.7037037037037033,0.0,0.0,100.0,
ALBORNOZ,CHI,4,0,0,1,0.0,0.0,11.11111111111111,0.0,0.0,100.0,0.0
ALBRIGHT,USA,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ALCARAZ,PAR,5,1,1,1,0.2,5.88235294117647,14.814814814814811,5.0,0.0,87.5,2.0
ALCINDO,BRA,3,0,0,1,0.0,0.0,7.4074074074074066,0.0,0.0,100.0,0.0
ALDAIR,BRA,18,0,3,3,0.0,0.0,62.96296296296296,0.0,50.0,62.5,3.0
